nbNoeuds,nbArc,tempsBellmanFord,tempsDijkstra
7,7,11132200,2148400
5,7,519800,194500
100,2685,73166400,11109700
900,202660,14340384900,4222986900
10,39,191300,100800
100,2604,30348000,8120300
100,2696,34498400,8163700
100,2567,30031600,8343400
100,2547,22638500,8060200
10,45,97600,68000
10,35,74800,56200
10,35,78800,60800
10,41,78900,59800
10,30,71400,53400
10,42,81900,60200
200,10155,225134600,51402800
200,10342,233381500,50803700
200,10135,219807100,49811100
200,10053,204526200,46185800
200,10209,218460300,49683200
20,130,340500,127400
20,121,297100,112700
20,115,215200,110900
20,136,335100,121300
20,117,373700,120200
300,22810,569665200,160908200
300,22796,557269200,161039100
300,22962,738789200,159440900
300,22858,538178600,168163900
300,22927,532960100,166113000
30,244,1058200,245200
30,274,839300,291700
30,259,791200,246500
30,263,787200,263100
30,248,778000,242300
3,4,15400,20800
400,40626,1306288000,396978900
400,40450,1323164300,426580400
400,40562,1774130100,380521700
400,40476,1736805100,372029700
400,40687,1286265900,385129800
40,441,1630300,523800
40,454,1683400,514300
40,426,1585900,534100
40,466,1722200,562700
40,474,1760300,565700
3,5,18000,22100
500,63138,2561190400,734638400
500,63276,2537234800,750614000
500,63000,2557899400,755965200
500,62743,2488573000,733642700
500,63101,2550703400,744881500
50,693,4095500,944300
50,704,4096800,1080500
50,667,3060600,1138100
50,701,3181000,967100
50,697,4385700,1518100
600,90362,4358933100,1307155700
600,90545,4475181500,1327146900
600,90577,4390697400,1304324400
600,90432,4314336300,1257107500
600,90743,4437173200,1288383300
60,1002,7045700,1589600
60,935,5116600,1556500
60,977,8337700,1601600
60,977,6508900,1554200
60,965,5114800,1758700
700,122868,7021748900,2039289200
700,123154,7126828700,2031217500
700,123216,6987022500,2090180800
700,122934,7035761600,2047966200
700,123490,7109094500,2060043000
70,1285,9712900,2463400
70,1302,9979100,2375800
70,1316,12836500,2355100
70,1329,7829100,2423700
70,1278,10234500,2346100
800,161216,10531127300,3149843800
800,160776,10668341200,3126139300
800,161180,10743048000,3205077500
800,161005,10634383900,3079065600
800,160289,10324368100,2825675200
80,1675,11798200,3425100
80,1714,19361400,3911400
80,1693,15298800,3466900
80,1724,16113100,3586600
80,1668,14766500,3445900
900,203379,15174329100,4346832500
900,202692,14888345300,4155050100
900,204447,14670959700,4117173100
900,202857,15222602300,4486551500
90,2107,20932200,5038100
90,2094,17333300,5732200
90,2103,16578800,4869700
90,2167,22972600,4950800
90,2165,24667800,5729300
